dataset_name,missing_data_type,missing_rate,iteration_nr,fixing_method,difference
boiler,MAR,5p,6,mtfsd2all4,49459.49799962839
boiler,MAR,2p,5,gafunet,9929.522631217915
vibr,MNAR,20p,4,interpolateakima,338.13883091641077
lake2,MNAR,50p,9,mtfsd2all4,2825.9155071299183
pump,MAR,2p,7,imputemode,2352103.5907
lake3,MNAR,5p,1,interpolatepchip,28.40255406544864
pump,MNAR,2p,5,imputeffill,43547.04133
boiler,MNAR,5p,7,mtfunet,47510.62032961972
vibr,MNAR,2p,10,mtfunet,15.867150599442589
lake2,MCAR,20p,10,mtfunet,1477.6905585222667
pump,MNAR,2p,9,interpolatenearest,46195.358314648445
boiler,MNAR,50p,6,interpolatelinear,1165.2649600437144
boiler,MCAR,20p,2,specsd2all4,309173.01783892035
vibr,MNAR,20p,9,rpunet,360.8656303327141
lake3,MAR,20p,4,interpolatepolynomial,257.298334584801
lake1,MCAR,2p,7,mtfunet,159.37366417181687
pump,MAR,5p,6,imputemode,5780186.016258001
boiler,MAR,50p,9,interpolateindex,2051.1593337921468
boiler,MNAR,20p,6,interpolatecubic,570.7436446687285
lake1,MNAR,20p,1,interpolatepolynomial,127.56905983429533
vibr,MAR,2p,9,imputemedian,39.11953289428008
vibr,MNAR,50p,5,interpolateakima,973.8252934598153
lake2,MAR,20p,8,mtfunet,1703.0769479139476
lake1,MNAR,2p,6,rpsd2all4,113.06536759086254
boiler,MCAR,20p,8,interpolateindex,430.52214285716286
boiler,MNAR,20p,2,interpolatelinear,430.6394285714289
pump,MAR,20p,9,interpolateindex,404018.25428979157
lake3,MCAR,2p,7,mtfsd2all4,136.63632267929273
vibr,MCAR,5p,3,interpolatequadratic,120.51374530768717
boiler,MAR,20p,8,specunet,266981.5993489661
boiler,MAR,2p,3,imputemedian,9284.040000000005
lake2,MCAR,50p,9,gafunet,2006.8659525988967
vibr,MAR,20p,8,interpolateindex,402.5629312795274
pump,MAR,20p,7,imputemode,20900186.808160942
boiler,MNAR,2p,9,interpolateindex,43.81833333333407
lake1,MNAR,2p,8,interpolatepolynomial,12.633410157176058
lake1,MNAR,50p,10,imputemean,2054.8353132948046
lake3,MAR,50p,8,imputemean,2123.3450485549133
lake1,MCAR,20p,1,interpolatenearest,93.15650000000011
lake3,MCAR,20p,3,interpolatenearest,176.43379999999968
vibr,MNAR,2p,10,gafunet,52.01666095076061
